,iso,m1_beta1,m1_beta2,m1_maxGMT,m2_beta1,m2_beta2,m2_maxGMT,m3_beta1,m3_beta2,m3_maxGMT,m4_beta1,m4_beta2,m4_maxGMT,m5_beta1,m5_beta2,m5_maxGMT,m6_beta1,m6_beta2,m6_maxGMT,m7_beta1,m7_beta2,m7_maxGMT,m8_beta1,m8_beta2,m8_maxGMT,m9_beta1,m9_beta2,m9_maxGMT,m10_beta1,m10_beta2,m10_maxGMT,m11_beta1,m11_beta2,m11_maxGMT,m12_beta1,m12_beta2,m12_maxGMT,m13_beta1,m13_beta2,m13_maxGMT,m14_beta1,m14_beta2,m14_maxGMT,m15_beta1,m15_beta2,m15_maxGMT,m16_beta1,m16_beta2,m16_maxGMT,m17_beta1,m17_beta2,m17_maxGMT,m18_beta1,m18_beta2,m18_maxGMT,m19_beta1,m19_beta2,m19_maxGMT,m20_beta1,m20_beta2,m20_maxGMT,m21_beta1,m21_beta2,m21_maxGMT
120,NGA,-4.237336411,-0.266714076,3.271393877,-6.118742448,-0.050286215,5.357116368,-2.00636733,0.040643646,3.17721442,-1.362552065,-0.869072835,3.616686681,-6.651857079,0.192036834,5.912029359,-7.800361656,0.203749171,5.861769382,-6.204314919,0.421367603,5.221369037,-6.378251887,0.189592555,4.652150125,0.199500356,-0.802755865,4.794348464,-8.51661958,1.309664704,3.521065644,-4.9286498,-0.213048782,3.831035675,1.360597899,-1.517984843,3.695553645,-6.989988554,0.676913941,4.802522534,-0.665798082,-1.528062758,3.340032709,-3.540026955,-0.532422634,2.759113414,-4.069641437,-0.453710461,2.810758886,-3.218140376,0.446611483,2.727035158,-6.155200599,1.170603979,2.931697861,-1.99794748,-0.203616881,4.500484936,-1.760603718,0.026697578,4.302452975,-4.31758849,-0.092411201,5.151280551
121,NIC,-24.12412045,3.172600788,3.271393877,-7.50671019,0.311116777,5.357116368,-15.27769315,1.499922844,3.17721442,-2.400467516,-0.413238328,3.616686681,-7.453115357,0.206706063,5.912029359,-6.893471623,0.03486444,5.861769382,-16.8579367,1.774874531,5.221369037,-8.04268934,1.115283638,4.652150125,-6.561432532,-0.762203051,4.794348464,-9.146603285,0.504544444,3.521065644,0.19482548,-1.216906486,3.831035675,-13.0870816,3.10973997,3.695553645,-0.452469316,-0.413216274,4.802522534,-1.516956841,-1.129448285,3.340032709,-8.170283763,1.936876776,2.759113414,-7.908841739,1.733066532,2.810758886,-3.631729663,-0.195652791,2.727035158,-5.870295882,0.522344366,2.931697861,6.099231643,-1.805316781,4.500484936,-1.57531117,-0.343143569,4.302452975,-1.861865075,-0.866285235,5.151280551
122,NLD,-5.069067822,-0.529105642,3.271393877,-5.333828387,0.091851648,5.357116368,5.425457984,-1.949233411,3.17721442,-4.682718298,0.79442456,3.616686681,-6.867166146,0.579885629,5.912029359,-1.427224132,-0.156678107,5.861769382,1.64731009,-0.74899215,5.221369037,2.857101326,-0.130959494,4.652150125,-9.253780306,1.043056612,4.794348464,-6.642549341,0.517216847,3.521065644,-11.29337263,1.647544607,3.831035675,-4.648826519,0.437534958,3.695553645,-1.097088161,0.113100011,4.802522534,-3.337367018,-0.445463568,3.340032709,-7.789302682,3.258354773,2.759113414,-16.06062351,2.026457675,2.810758886,-1.158170106,-0.822091443,2.727035158,-11.49451173,1.620980714,2.931697861,-6.628513809,0.298983914,4.500484936,-4.206437552,-0.01874644,4.302452975,-2.276476122,0.378598053,5.151280551
123,NOR,-5.409342962,0.32564988,3.271393877,-0.420844922,-0.162006704,5.357116368,2.791247789,-1.185478243,3.17721442,-1.299093886,0.395029004,3.616686681,-1.45104874,-0.167571166,5.912029359,2.951218257,-0.727828795,5.861769382,-0.89387841,-0.050445196,5.221369037,-0.020079052,0.261181597,4.652150125,-0.190485727,0.188752566,4.794348464,0.252706534,-0.1232715,3.521065644,-2.889444696,0.670755974,3.831035675,-1.347215034,0.077401294,3.695553645,-0.004047303,-0.356768356,4.802522534,1.114609126,-0.845339089,3.340032709,-11.41341958,2.470553186,2.759113414,-2.002333658,0.506537435,2.810758886,-2.207065492,0.978194563,2.727035158,-7.583490203,2.033381036,2.931697861,0.482470645,-0.666562439,4.500484936,-6.209663983,0.824984865,4.302452975,-0.316707433,0.421832493,5.151280551
124,NPL,-11.13569125,2.052950772,3.271393877,-2.294301603,-0.395124532,5.357116368,5.912256974,-1.387168356,3.17721442,4.854625548,-2.760951715,3.616686681,-1.190091511,-0.215178665,5.912029359,0.867892537,-0.850949713,5.861769382,-9.751603173,0.674353544,5.221369037,-0.660715991,-0.332439993,4.652150125,-5.736761205,0.042745234,4.794348464,-1.426652836,-0.308154733,3.521065644,2.57503994,-0.928687437,3.831035675,-9.753197001,0.637078542,3.695553645,-2.571322655,-0.057908805,4.802522534,2.65646725,-1.073118826,3.340032709,-2.931013929,-1.52170369,2.759113414,-0.830252,-1.726070394,2.810758886,-9.699867244,1.307276742,2.727035158,3.810967569,-2.678550437,2.931697861,-0.873587238,-0.331102345,4.500484936,-1.164248513,-0.451265743,4.302452975,-5.74925607,0.121795128,5.151280551
125,NZL,1.33418514,-0.943803556,3.271393877,-2.625366705,0.033388619,5.357116368,2.338185687,-0.487138305,3.17721442,0.949002485,0.088736025,3.616686681,-2.700252114,-0.015573684,5.912029359,-2.085084721,0.077182152,5.861769382,-2.517607013,0.189014153,5.221369037,-2.139560372,-0.083919043,4.652150125,-4.373431031,0.401428321,4.794348464,-5.591022188,0.711015159,3.521065644,1.254319903,-0.673195805,3.831035675,-6.088776035,1.292504069,3.695553645,-0.88245001,-0.070263254,4.802522534,-0.08253873,0.030476846,3.340032709,-2.123352153,-0.459706208,2.759113414,-0.190429261,-0.284354823,2.810758886,0.673967329,-1.686846646,2.727035158,5.158722924,-3.13365771,2.931697861,-2.53180241,-0.089195696,4.500484936,1.445671627,0.249697878,4.302452975,-2.060554027,-0.264094949,5.151280551
126,OMN,-5.49120602,0.156050008,3.271393877,-7.031473984,0.326595637,5.357116368,-4.611960566,-0.532186691,3.17721442,-8.774670808,0.477381216,3.616686681,-4.427162572,0.008541866,5.912029359,-4.140482425,-0.146854748,5.861769382,-7.874443615,0.291794139,5.221369037,-4.977371155,0.068196718,4.652150125,-10.96276347,0.834282498,4.794348464,-5.815979614,0.337495107,3.521065644,-6.693767312,0.653795341,3.831035675,-3.311501345,-0.527865895,3.695553645,-5.888579739,0.436055862,4.802522534,-1.115036851,-1.294267173,3.340032709,-13.64703505,1.459351496,2.759113414,-6.785180185,-0.6422725,2.810758886,-6.670800115,0.049721531,2.727035158,-9.634500782,1.273609695,2.931697861,-5.397705665,0.142703516,4.500484936,-9.10635328,0.787133276,4.302452975,-4.754744882,0.022956426,5.151280551
127,PAK,-6.542026805,0.346564755,3.271393877,-11.01075748,0.715556989,5.357116368,-3.90588564,-0.298038734,3.17721442,-7.601981341,0.22008977,3.616686681,-6.537892772,0.185731626,5.912029359,-6.582889345,0.028558853,5.861769382,-5.555099336,-0.245522289,5.221369037,-3.621873112,-0.099876878,4.652150125,-10.59071384,1.036481396,4.794348464,-4.413006594,-0.10932068,3.521065644,-0.03912928,-1.354827379,3.831035675,-9.261419929,-0.304231825,3.695553645,-4.546632281,0.24496872,4.802522534,6.924610863,-2.426558042,3.340032709,-12.59209354,0.403749709,2.759113414,-8.257915173,0.314292571,2.810758886,-3.358468637,-0.459770417,2.727035158,-9.481527326,0.684560754,2.931697861,-5.29416169,-0.032028864,4.500484936,-4.018512888,0.205629515,4.302452975,-3.923595269,0.069619135,5.151280551
128,PAN,-8.469002389,-0.333488261,3.271393877,-11.60910307,1.20602098,5.357116368,-10.02897867,2.052934396,3.17721442,-5.042097348,0.541528201,3.616686681,-2.97545021,-0.377461585,5.912029359,-1.937305073,-0.696412113,5.861769382,-8.296050397,0.718548131,5.221369037,-9.215923299,0.989953014,4.652150125,-1.443024739,-1.103164109,4.794348464,5.326726579,-2.740560647,3.521065644,-2.493953248,-1.986408285,3.831035675,-4.847507176,0.167178637,3.695553645,-4.382177423,-0.116040506,4.802522534,0.619369923,-1.235414462,3.340032709,18.40205923,-10.4834119,2.759113414,2.612739683,-1.105389389,2.810758886,-4.786078482,-0.101815018,2.727035158,-8.065047418,0.521419863,2.931697861,-1.079038469,-1.629310771,4.500484936,-1.822341139,-0.405369325,4.302452975,-2.103904631,-1.080127986,5.151280551
129,PER,-8.45332793,0.571875125,3.271393877,-1.316889477,-0.534616945,5.357116368,-5.073417906,-0.087085037,3.17721442,-4.001634834,0.008988814,3.616686681,-3.528417436,-0.050670887,5.912029359,-3.05356178,-0.214448107,5.861769382,-5.889581649,0.269218669,5.221369037,-5.300496773,0.232718816,4.652150125,-5.280260565,-0.063059016,4.794348464,-7.774183281,1.048186955,3.521065644,-5.595820117,0.244289007,3.831035675,-3.298934532,-0.457934148,3.695553645,-4.111063866,0.191245712,4.802522534,0.891120047,-0.860930544,3.340032709,-11.04875671,1.339065478,2.759113414,-4.480653614,0.345349261,2.810758886,-6.301178155,0.311229891,2.727035158,-4.996546382,-0.030453444,2.931697861,-1.570938679,-0.246400129,4.500484936,-4.093707393,0.132608168,4.302452975,-3.2536576,-0.123208792,5.151280551
130,PHL,-3.388015008,-0.155334811,3.271393877,-10.163711,0.788728627,5.357116368,-6.697900955,0.435134456,3.17721442,-4.510339025,0.503077525,3.616686681,-4.93001932,-0.090766898,5.912029359,-5.153686735,0.172353043,5.861769382,-6.330602027,0.479334437,5.221369037,-11.16817346,0.949783928,4.652150125,-13.85518145,0.993598713,4.794348464,-5.563427174,1.333156646,3.521065644,6.483626545,-2.584903346,3.831035675,-2.075595154,-0.661498601,3.695553645,-4.880966491,0.246085729,4.802522534,2.843983078,-1.231856188,3.340032709,4.345171547,2.535706095,2.759113414,-0.021996942,-0.346068179,2.810758886,-6.499697962,0.876893505,2.727035158,-1.360073885,-0.629867972,2.931697861,-5.181193082,-0.239995516,4.500484936,-7.307416666,0.713034781,4.302452975,-6.065733328,0.265168087,5.151280551
131,PNG,-3.100610621,-0.677238752,3.271393877,2.762670612,-0.632485362,5.357116368,-5.834077552,-0.061822904,3.17721442,1.753302425,-1.319947168,3.616686681,-3.166182171,0.0136601,5.912029359,-4.275879825,0.030633139,5.861769382,-4.586604895,0.356896777,5.221369037,-6.214767164,0.407686593,4.652150125,-18.03164392,1.313782681,4.794348464,-4.177529003,1.69245548,3.521065644,-0.70920854,-0.11201793,3.831035675,-13.57468475,2.042091499,3.695553645,-2.698776871,-0.010271741,4.802522534,-3.085537266,-0.278831593,3.340032709,12.84185961,-4.023847892,2.759113414,-5.65831367,0.51762827,2.810758886,8.494538961,-2.69987617,2.727035158,-1.046511529,-0.776271141,2.931697861,0.70357725,-1.090156683,4.500484936,-0.790611055,-0.163669437,4.302452975,-2.804679681,-0.212580256,5.151280551
132,POL,-7.980021135,-0.056956842,3.271393877,-1.725374174,-0.483343766,5.357116368,-2.416673913,0.149215129,3.17721442,-0.387374701,-0.056625392,3.616686681,-1.976891082,-0.103525164,5.912029359,-0.105341697,-0.535923488,5.861769382,-7.22347553,0.553179692,5.221369037,-3.724129513,0.48152212,4.652150125,-3.166954275,0.264200236,4.794348464,-5.344616064,0.343186539,3.521065644,-11.91706209,1.621088638,3.831035675,-9.816875735,1.110095628,3.695553645,-3.459970494,0.253816789,4.802522534,7.053839524,-1.749736757,3.340032709,-10.48220173,2.537214747,2.759113414,-1.970661201,-0.002795462,2.810758886,4.914975334,-2.091402443,2.727035158,-3.408879192,0.147854238,2.931697861,-6.248032827,0.361928794,4.500484936,-3.559950482,0.387859201,4.302452975,1.29942749,-0.024552696,5.151280551
133,PRI,-10.61789165,1.439884,3.271393877,5.715931213,-1.802740266,5.357116368,0.285201309,-1.025767565,3.17721442,1.036697163,-1.301187538,3.616686681,-0.58773584,-0.487153474,5.912029359,-4.576857205,0.207403304,5.861769382,-6.692441607,0.510054197,5.221369037,-5.55271694,0.085462884,4.652150125,-12.2054605,1.110182717,4.794348464,-6.883529325,1.222281496,3.521065644,-0.160465879,-0.686450525,3.831035675,-13.2069511,2.218273842,3.695553645,-1.51994718,-0.012556052,4.802522534,-8.268426798,0.633404861,3.340032709,-3.372837759,-0.251621714,2.759113414,-15.18029919,2.764550892,2.810758886,-17.98290665,4.140194231,2.727035158,-3.448285139,1.063086037,2.931697861,-5.358289061,0.367028978,4.500484936,-3.990625645,0.435198195,4.302452975,2.517162921,-0.809960825,5.151280551
134,PRT,-7.333515517,0.594137834,3.271393877,-2.802945666,-0.17835671,5.357116368,-13.52634454,1.53715156,3.17721442,-10.95475632,1.819987403,3.616686681,-3.516457564,0.357357643,5.912029359,-5.15616446,0.270247302,5.861769382,-0.408807575,-0.674070943,5.221369037,-1.53730733,-0.117031376,4.652150125,-13.2095119,1.420346813,4.794348464,-3.624192128,0.316886935,3.521065644,-8.36492669,0.855260718,3.831035675,-4.021215642,0.21152137,3.695553645,-8.83593109,1.083790307,4.802522534,-3.948044174,-0.015135982,3.340032709,-6.330710864,3.236135675,2.759113414,-9.032869465,0.919284244,2.810758886,-4.017933561,0.104747234,2.727035158,-3.941888285,1.779495285,2.931697861,-8.01745296,0.878545795,4.500484936,-6.50939131,0.0222356,4.302452975,0.186629157,-0.221789586,5.151280551
135,PRY,6.211745288,-2.945233483,3.271393877,2.473685318,-1.388361652,5.357116368,-6.622538133,0.802687064,3.17721442,-17.06043505,1.818575568,3.616686681,-13.19268987,0.899461903,5.912029359,-3.398449248,-0.393977886,5.861769382,-5.046587061,0.573343059,5.221369037,-17.88583729,1.785833251,4.652150125,-7.453370129,0.4092324,4.794348464,-13.73323559,3.301883862,3.521065644,-6.413972427,0.353419917,3.831035675,-4.282224204,-1.431211228,3.695553645,-2.895552063,-0.128271257,4.802522534,4.980881538,-2.68549333,3.340032709,-6.754896921,-0.170065993,2.759113414,3.194861257,-1.74831472,2.810758886,15.61866277,-3.161399637,2.727035158,-1.244137089,-0.925719893,2.931697861,-7.013187195,0.079637766,4.500484936,-16.67976002,1.708544973,4.302452975,-11.29350387,0.915855815,5.151280551
136,PSE,-0.781723688,-0.917252255,3.271393877,-5.796584679,0.307926934,5.357116368,-5.856410778,0.666295271,3.17721442,-5.105171769,0.103095837,3.616686681,-2.584432194,-0.008538163,5.912029359,-5.33855355,0.075391714,5.861769382,-3.268678683,-0.088822123,5.221369037,-9.203618908,0.596476882,4.652150125,-2.189435073,0.117110022,4.794348464,-13.12480785,2.229462942,3.521065644,-6.840682191,0.692812583,3.831035675,-2.150123957,-0.092504123,3.695553645,-3.30915999,0.290463504,4.802522534,-0.878740223,-1.129241871,3.340032709,-7.509366071,-0.192398001,2.759113414,4.92193798,-1.674008508,2.810758886,1.22247742,-1.586132157,2.727035158,-6.401632729,-0.669639111,2.931697861,-6.84748055,0.260478777,4.500484936,-0.068220462,-0.527841277,4.302452975,-2.500482639,0.000977329,5.151280551
137,PYF,0.712584052,-1.057022547,3.271393877,-2.523131465,-0.207321304,5.357116368,-1.609334561,-0.088997509,3.17721442,-3.36596351,-0.563482277,3.616686681,-1.126642147,-0.310041877,5.912029359,-6.921014847,0.378771656,5.861769382,-6.541289857,0.840807281,5.221369037,-7.078022135,0.449600698,4.652150125,-10.34537593,0.825305861,4.794348464,-0.180126203,-1.195929989,3.521065644,-8.600170337,0.529866588,3.831035675,-14.60620064,2.068809769,3.695553645,-4.844484571,0.557633188,4.802522534,-0.786022795,-1.545579301,3.340032709,-0.005838593,0.4088892,2.759113414,2.346133367,-0.512117336,2.810758886,9.780322674,-1.373363803,2.727035158,-4.939259089,-0.712108279,2.931697861,-2.434878129,-0.10375994,4.500484936,-3.675428841,0.081633098,4.302452975,1.401448732,-0.648413363,5.151280551
138,QAT,-4.266809357,-0.07208843,3.271393877,-8.864124362,0.572422198,5.357116368,-3.332478211,-0.604131818,3.17721442,-8.115944555,0.754011081,3.616686681,-5.578504858,0.144495551,5.912029359,-4.939405453,-0.031447444,5.861769382,-9.580663399,0.789102553,5.221369037,-5.267269603,0.374243538,4.652150125,-12.25609118,1.140504449,4.794348464,-8.826182099,0.653132563,3.521065644,-8.822677386,1.001979909,3.831035675,-4.952745042,0.222431998,3.695553645,-6.550880088,0.353036416,4.802522534,0.361402016,-1.561666698,3.340032709,-13.11013155,1.628317191,2.759113414,0.065283419,-1.765854747,2.810758886,-6.374208323,-0.095301949,2.727035158,-12.68517359,1.542746961,2.931697861,-6.287730856,0.170201359,4.500484936,-8.922533342,0.666116949,4.302452975,-1.440813587,-0.403407287,5.151280551
139,ROU,-5.930558951,0.186798188,3.271393877,-2.056406032,-0.329579236,5.357116368,-5.013121725,0.459925139,3.17721442,-5.687167705,-0.331221912,3.616686681,-4.158817382,-0.101569958,5.912029359,-4.085432754,-0.146220948,5.861769382,-6.086390381,0.478212885,5.221369037,-8.478548867,0.801215111,4.652150125,-2.033288415,-0.327923738,4.794348464,-8.053456321,1.30336803,3.521065644,-7.167903363,0.341918192,3.831035675,-2.265606642,-0.428358752,3.695553645,-7.748935447,0.662347052,4.802522534,7.853842316,-2.185724184,3.340032709,-16.22931067,3.803770076,2.759113414,-2.910200988,0.68193532,2.810758886,12.20237504,-2.937436966,2.727035158,-2.525572619,0.040889025,2.931697861,-7.140206376,0.633421868,4.500484936,-1.926547542,0.205600459,4.302452975,0.396489762,-0.166259425,5.151280551
140,RUS,-0.98511992,-0.253142735,3.271393877,1.11364549,-0.541597248,5.357116368,1.214510902,-0.637361767,3.17721442,-2.935822994,0.39023541,3.616686681,-0.936492632,-0.281817385,5.912029359,0.651924179,-0.600683177,5.861769382,-3.000637756,0.09038414,5.221369037,-1.978880154,0.043604776,4.652150125,-0.542386459,-0.40832011,4.794348464,-0.242280525,-0.54426779,3.521065644,-2.920799497,0.265591484,3.831035675,-1.906054768,-0.166172316,3.695553645,-0.065196773,-0.205943215,4.802522534,-2.053380252,-0.46877244,3.340032709,-0.625255211,-0.225073307,2.759113414,1.137915365,-0.876125344,2.810758886,1.913114916,-0.66055673,2.727035158,-1.218493243,-0.222824268,2.931697861,-3.425154035,0.183492166,4.500484936,1.390523955,-0.620562231,4.302452975,-2.114188549,0.120672405,5.151280551
141,RWA,-5.125638137,0.205674794,3.271393877,-7.514811948,0.381651114,5.357116368,-1.719846195,0.540559459,3.17721442,-11.12944297,1.237662848,3.616686681,-3.219083866,-0.251320665,5.912029359,-5.00659351,-0.155460088,5.861769382,-4.640096217,-0.038685463,5.221369037,-9.739862601,0.989796786,4.652150125,-0.634973291,-0.245106846,4.794348464,-7.976078494,1.145092223,3.521065644,-4.062191728,-0.662713899,3.831035675,1.690107208,-0.7681557,3.695553645,-6.443222604,0.520512891,4.802522534,-1.553175714,-0.146451885,3.340032709,-13.94519724,2.932850045,2.759113414,-4.46201927,-0.571828269,2.810758886,1.218360436,-1.27131883,2.727035158,-6.465221993,0.346227751,2.931697861,-2.435904182,-0.531769706,4.500484936,-1.995068257,-0.960292585,4.302452975,-5.340320462,-0.109051696,5.151280551
142,SAU,-6.569557299,0.142765339,3.271393877,-5.743745197,-0.078104626,5.357116368,-9.532871991,0.61987017,3.17721442,-9.636701021,0.859640033,3.616686681,-6.900831272,0.308065589,5.912029359,-4.634608978,-0.060179301,5.861769382,-9.239779875,0.513385129,5.221369037,-7.027622151,0.358170144,4.652150125,-10.35217304,0.868141832,4.794348464,-10.14572964,0.846468015,3.521065644,-9.157640812,0.887403913,3.831035675,-4.191561635,-0.292239795,3.695553645,-5.584851014,0.190084203,4.802522534,0.024923849,-1.752607074,3.340032709,-13.87540886,1.672126615,2.759113414,-6.907398701,-0.483732804,2.810758886,-5.093747435,-0.608799562,2.727035158,-9.881875789,1.02738427,2.931697861,-5.664773407,0.293622185,4.500484936,-8.617997902,0.903258862,4.302452975,-3.919603397,-0.079703876,5.151280551
143,SDN,-3.750781056,-0.270548586,3.271393877,-3.913789749,-0.373645977,5.357116368,-7.494182219,0.765164711,3.17721442,-7.10801967,-0.053826359,3.616686681,-7.856338709,0.324891221,5.912029359,-2.877000966,-0.132539669,5.861769382,-7.921166785,0.34578376,5.221369037,-8.83523181,0.251721315,4.652150125,-0.179412855,-0.56287535,4.794348464,-8.53832504,0.252289268,3.521065644,-8.923940796,0.970506987,3.831035675,2.072375083,-1.692245179,3.695553645,-0.603957788,-0.66210948,4.802522534,5.902714946,-2.772440571,3.340032709,-7.351492898,-0.702376114,2.759113414,-5.648593622,-0.894396693,2.810758886,-5.837675187,0.059757149,2.727035158,-8.265677655,0.589135796,2.931697861,-2.568586922,-0.098005747,4.500484936,-7.223329539,1.049189931,4.302452975,-3.940709429,-0.289015099,5.151280551
144,SEN,-8.357090163,0.369984266,3.271393877,-1.630116023,-0.244047477,5.357116368,-3.346787075,0.534966476,3.17721442,-5.020694874,0.383289729,3.616686681,-5.438440247,0.176361513,5.912029359,-6.560135749,0.090829016,5.861769382,-12.33243989,1.308702045,5.221369037,-10.14447943,1.176853757,4.652150125,-6.907799014,0.204619673,4.794348464,-7.116563162,0.69512794,3.521065644,-7.147231031,0.717716175,3.831035675,-5.116206532,-0.067861243,3.695553645,-6.479046035,0.428965973,4.802522534,-4.014464784,0.552422837,3.340032709,-13.28428357,1.376386824,2.759113414,-0.699466042,-0.874177308,2.810758886,-2.435677683,0.355161795,2.727035158,-6.416762658,1.358702719,2.931697861,-2.889624411,-0.022132109,4.500484936,-3.059809985,0.227130701,4.302452975,-4.960183967,0.118830946,5.151280551
145,SGP,-5.820273957,-0.541519772,3.271393877,-12.49107589,1.11809718,5.357116368,-0.858689181,-2.728521187,3.17721442,-4.956164458,-1.51181352,3.616686681,-10.0495259,0.494016502,5.912029359,-5.6909247,-0.035169401,5.861769382,-2.196880192,-0.165773635,5.221369037,-16.6036094,1.666010563,4.652150125,-9.660242891,-0.620384931,4.794348464,7.702933357,-1.45262051,3.521065644,-12.84965355,1.537526834,3.831035675,-1.752255515,-1.576208459,3.695553645,0.181168624,-0.38122145,4.802522534,-6.623902495,1.605796597,3.340032709,0.59281016,0.453725694,2.759113414,-6.417981159,0.895318266,2.810758886,15.33301686,-4.424380971,2.727035158,5.634454606,-0.712348873,2.931697861,-9.259276784,-0.155915386,4.500484936,-5.270857167,0.359516096,4.302452975,3.014737101,-2.016469422,5.151280551
146,SLB,-3.780989025,-1.272945391,3.271393877,-2.997431754,0.014889363,5.357116368,-11.18709615,0.589453156,3.17721442,-2.707795042,1.395444599,3.616686681,-1.571582888,-0.255398666,5.912029359,-1.277739779,-0.241256385,5.861769382,-4.314468005,-0.076720228,5.221369037,-6.935926011,0.50395154,4.652150125,-11.04875352,0.352634606,4.794348464,14.3286463,1.396641569,3.521065644,-6.299026089,-0.031809747,3.831035675,-7.840773858,0.711821945,3.695553645,-1.841634417,-0.155488504,4.802522534,-3.581046909,-0.787402728,3.340032709,-8.794825303,-0.290675204,2.759113414,-8.637909498,0.866467048,2.810758886,5.597840548,-1.051589138,2.727035158,-4.449529524,-0.037277807,2.931697861,0.392617928,-1.447572635,4.500484936,-3.980247764,0.28707595,4.302452975,-3.872146324,0.273161092,5.151280551
147,SLE,-8.689982279,0.575169388,3.271393877,-2.546750376,-0.30595836,5.357116368,0.761602831,0.486288185,3.17721442,4.311745986,-1.504748699,3.616686681,-0.486990023,-0.204048722,5.912029359,-3.604033685,-0.279649651,5.861769382,-4.130396807,0.060760681,5.221369037,-12.3756186,1.335032887,4.652150125,-3.671579859,0.203101753,4.794348464,-10.97059287,1.61865936,3.521065644,5.903734124,-1.158351287,3.831035675,-3.900091638,0.004996933,3.695553645,-7.662354631,0.785716966,4.802522534,-3.624539431,0.93017159,3.340032709,-8.184645696,0.363773318,2.759113414,-15.98032127,4.136808824,2.810758886,-10.04057592,0.922950162,2.727035158,-15.53146112,0.801957635,2.931697861,2.199297296,-1.371982052,4.500484936,-2.479897505,-0.000754015,4.302452975,-8.783296057,0.483133725,5.151280551
148,SLV,-14.64148416,1.320776189,3.271393877,-7.946914574,0.490320657,5.357116368,-4.076739447,-0.515464174,3.17721442,-2.876026908,-0.486127557,3.616686681,-8.162179174,0.292718175,5.912029359,-5.200556034,-0.222906913,5.861769382,-9.830600252,0.488540698,5.221369037,-3.703956314,0.225950184,4.652150125,-10.94830777,0.399778512,4.794348464,-7.078398862,0.293404242,3.521065644,-4.232260575,-0.232337646,3.831035675,-0.140644875,-0.568839532,3.695553645,-5.078440685,0.202523929,4.802522534,-2.67847662,-0.402953518,3.340032709,-7.774532212,-0.755492874,2.759113414,-2.771641998,0.83593848,2.810758886,-2.956075439,0.990816576,2.727035158,-7.607558444,-0.716068969,2.931697861,-2.487364505,-0.551089094,4.500484936,-1.494869036,-0.679477668,4.302452975,-5.312376651,-0.455213664,5.151280551
149,SOM,-3.904247752,-0.064347157,3.271393877,-2.290078773,-0.48158564,5.357116368,-6.73740079,0.464883598,3.17721442,-0.356629681,-0.026850522,3.616686681,-4.602454775,-0.069574929,5.912029359,-5.649928424,-0.358515,5.861769382,-7.41230202,0.552710851,5.221369037,-9.080110471,0.922563977,4.652150125,-8.15541124,0.352073582,4.794348464,-11.24259101,1.090711982,3.521065644,-4.521706039,-0.634260242,3.831035675,-2.96347624,-0.54594623,3.695553645,-1.627873315,-0.200985146,4.802522534,1.667469577,-0.68345707,3.340032709,-11.11308986,1.889195067,2.759113414,-9.425166852,0.191706519,2.810758886,-4.252249777,0.577586194,2.727035158,-0.512140385,-1.009653104,2.931697861,-6.235436043,0.279692025,4.500484936,-4.588724995,-0.071226258,4.302452975,-9.464378387,0.587248218,5.151280551
150,SRB,-7.30282547,0.24485654,3.271393877,0.089485446,-0.56902796,5.357116368,-2.336554977,-0.261553465,3.17721442,-4.361614045,-0.957130326,3.616686681,-4.750431061,-0.046650674,5.912029359,-5.613135268,0.054621278,5.861769382,-3.988254136,-0.028006411,5.221369037,-12.51358467,1.510609062,4.652150125,-1.886570329,-0.193090886,4.794348464,-9.295005312,1.758694219,3.521065644,-4.334783396,-0.003914529,3.831035675,-5.369313755,0.280218037,3.695553645,-8.361017661,0.662453838,4.802522534,5.97897433,-1.164291774,3.340032709,-20.61120959,4.771415233,2.759113414,-6.39325005,0.991234716,2.810758886,10.82189269,-2.476908836,2.727035158,-2.951622899,0.538290836,2.931697861,-7.821640499,0.483036651,4.500484936,-0.918392624,0.028326021,4.302452975,2.251546094,-0.132635837,5.151280551
151,STP,-7.819600364,0.360797246,3.271393877,-1.501292644,-0.151997982,5.357116368,3.123423184,-1.11388421,3.17721442,6.519736089,1.632799774,3.616686681,-3.717495777,-0.007339704,5.912029359,-0.530339441,-0.410916035,5.861769382,-4.767379629,0.142383961,5.221369037,-1.78854879,-0.325453322,4.652150125,0.020096867,-1.123092596,4.794348464,2.246108568,-0.40483285,3.521065644,2.281050866,-1.029551959,3.831035675,-0.836917024,-0.464655937,3.695553645,-6.726617586,0.869617085,4.802522534,2.728374374,-0.703127418,3.340032709,-14.78116521,2.10882269,2.759113414,0.932907703,-0.041774873,2.810758886,-3.787586249,0.606000889,2.727035158,-0.667720136,-0.84109274,2.931697861,1.65730504,-0.800611174,4.500484936,-2.288817524,-0.594073373,4.302452975,-5.759674519,0.345108196,5.151280551
