,iso,m1_beta1,m1_beta2,m1_maxGMT,m2_beta1,m2_beta2,m2_maxGMT,m3_beta1,m3_beta2,m3_maxGMT,m4_beta1,m4_beta2,m4_maxGMT,m5_beta1,m5_beta2,m5_maxGMT,m6_beta1,m6_beta2,m6_maxGMT,m7_beta1,m7_beta2,m7_maxGMT,m8_beta1,m8_beta2,m8_maxGMT,m9_beta1,m9_beta2,m9_maxGMT,m10_beta1,m10_beta2,m10_maxGMT,m11_beta1,m11_beta2,m11_maxGMT,m12_beta1,m12_beta2,m12_maxGMT,m13_beta1,m13_beta2,m13_maxGMT,m14_beta1,m14_beta2,m14_maxGMT,m15_beta1,m15_beta2,m15_maxGMT,m16_beta1,m16_beta2,m16_maxGMT,m17_beta1,m17_beta2,m17_maxGMT,m18_beta1,m18_beta2,m18_maxGMT,m19_beta1,m19_beta2,m19_maxGMT,m20_beta1,m20_beta2,m20_maxGMT,m21_beta1,m21_beta2,m21_maxGMT
100,MAC,,,3.271393877,,,5.357116368,,,3.17721442,,,3.616686681,,,5.912029359,,,5.861769382,,,5.221369037,,,4.652150125,,,4.794348464,,,3.521065644,,,3.831035675,,,3.695553645,,,4.802522534,,,3.340032709,,,2.759113414,,,2.810758886,,,2.727035158,,,2.931697861,,,4.500484936,,,4.302452975,,,5.151280551
101,MAR,-7.340234157,-0.10985898,3.271393877,-2.400718888,-0.469495539,5.357116368,-12.97467902,1.476750599,3.17721442,-1.641908747,-0.425186171,3.616686681,-3.348193617,0.113646782,5.912029359,-5.960377723,0.178997369,5.861769382,-8.538831134,0.513689163,5.221369037,-6.741518098,0.423475119,4.652150125,-13.06946111,1.307714282,4.794348464,-6.681070012,1.083205898,3.521065644,-6.781806525,0.28442118,3.831035675,-1.757360644,-0.444064619,3.695553645,-6.413646625,0.346828762,4.802522534,-1.878135698,-0.498381073,3.340032709,-3.824801907,0.014989321,2.759113414,-6.644585118,0.707965803,2.810758886,0.001695139,-0.428860768,2.727035158,-6.819044299,0.812519831,2.931697861,-2.544679141,-0.249661035,4.500484936,-6.699952144,0.188216696,4.302452975,-4.611736095,0.073167253,5.151280551
102,MDA,-3.190861521,-0.426094275,3.271393877,-3.248884285,-0.13350249,5.357116368,-3.321054945,-0.296041418,3.17721442,-5.123667708,-0.008906816,3.616686681,-1.414710055,-0.510036311,5.912029359,-3.199453974,-0.187878669,5.861769382,-7.633470877,0.831500375,5.221369037,-6.139380935,0.160305632,4.652150125,-1.91629455,-0.361025524,4.794348464,-3.648578331,0.309352668,3.521065644,-7.584173411,0.317115966,3.831035675,-1.636937812,-0.201165658,3.695553645,-9.579553899,1.164398738,4.802522534,5.716885832,-2.14728844,3.340032709,-12.18804279,2.636433912,2.759113414,-0.671093588,0.19602572,2.810758886,14.04622843,-3.212312433,2.727035158,-0.121884701,-0.240107868,2.931697861,-4.935346891,0.401772744,4.500484936,1.00845728,-0.397285291,4.302452975,-1.435336037,-0.006682726,5.151280551
103,MDG,-11.44696096,0.924797309,3.271393877,-2.455739018,-0.181075774,5.357116368,-2.100815458,-0.663665285,3.17721442,-4.158243294,0.15969104,3.616686681,-3.655305389,0.039142087,5.912029359,-5.115343587,0.039633167,5.861769382,-3.162642059,0.100647375,5.221369037,-7.870918901,0.603506373,4.652150125,-3.702259593,0.308287843,4.794348464,-12.57451044,1.404759929,3.521065644,-2.52401577,-0.407692293,3.831035675,-3.933711844,0.214243405,3.695553645,-4.695422647,0.381732205,4.802522534,-0.466376993,-1.101961141,3.340032709,-11.1737866,0.665114128,2.759113414,-4.854815377,0.806586574,2.810758886,-10.14438258,1.973035619,2.727035158,6.20337673,-1.454563001,2.931697861,-4.356343576,0.093544935,4.500484936,-6.866847997,0.888790821,4.302452975,-2.384475584,-0.053491113,5.151280551
104,MDV,-6.773098107,-0.086447119,3.271393877,8.460489757,-2.388903304,5.357116368,-0.952255159,-0.264441602,3.17721442,2.501979584,0.535494002,3.616686681,-3.008184618,0.106411044,5.912029359,-3.960172887,0.151225778,5.861769382,-4.842492304,0.081735363,5.221369037,-7.34017808,0.133504166,4.652150125,-8.078782677,-0.09753504,4.794348464,-4.561044913,0.708216516,3.521065644,-5.956967635,-0.599651159,3.831035675,3.729259307,-1.192988893,3.695553645,-0.492475535,0.004761757,4.802522534,3.557482508,-1.462314399,3.340032709,-4.288561136,-1.18939831,2.759113414,-22.88262714,5.39163136,2.810758886,-10.96524928,2.636469929,2.727035158,-11.89563358,1.030527939,2.931697861,-5.08553859,-0.045840299,4.500484936,-7.470546021,0.120484844,4.302452975,-5.363888843,0.288274919,5.151280551
105,MEX,-3.09821108,-0.273918713,3.271393877,-3.244882285,-0.296249387,5.357116368,-7.059459607,0.059786347,3.17721442,-9.071284605,0.362954694,3.616686681,-5.45346321,0.053957434,5.912029359,-4.57324665,-0.08954367,5.861769382,-5.162530903,0.078742804,5.221369037,-12.15509193,1.194315048,4.652150125,-10.06424327,0.863773924,4.794348464,-6.037348204,0.30345645,3.521065644,-5.623712529,0.370268308,3.831035675,-2.178819102,-0.526044004,3.695553645,-4.213321422,0.025096841,4.802522534,1.367606393,-1.431685769,3.340032709,-6.251454597,-0.458320955,2.759113414,-2.452049755,-0.512391634,2.810758886,0.623345924,0.085089117,2.727035158,-8.071291884,-0.001704854,2.931697861,-5.412829959,0.217619132,4.500484936,-2.224278095,-0.106124748,4.302452975,-2.83388365,-0.33738489,5.151280551
106,MKD,-5.632239285,0.14378069,3.271393877,-1.817018492,-0.3777897,5.357116368,-1.205474714,-0.283540879,3.17721442,-1.296876519,-1.413111977,3.616686681,-5.65678192,0.218316881,5.912029359,-5.953685569,0.154267346,5.861769382,-3.679079387,-0.098915707,5.221369037,-6.786804259,0.699016095,4.652150125,0.632998631,-0.667973011,4.794348464,-11.51544165,1.9031618,3.521065644,-2.62344364,-0.232433956,3.831035675,-7.000156041,1.004041329,3.695553645,-5.721665343,0.360147453,4.802522534,3.897966446,-0.46864887,3.340032709,-12.81057034,2.827345525,2.759113414,-6.607870307,1.422665844,2.810758886,11.03508046,-2.236117617,2.727035158,-4.156926185,0.215634162,2.931697861,-6.83820367,0.55054365,4.500484936,1.270443145,-0.220046043,4.302452975,-1.044210669,0.00758772,5.151280551
107,MLI,-9.768797472,0.921080092,3.271393877,-7.974345017,0.449672374,5.357116368,-4.227962226,0.462722731,3.17721442,-6.82348896,-0.17986492,3.616686681,-3.997987357,-0.099382235,5.912029359,-9.073357815,0.413920156,5.861769382,-10.73339201,0.93296312,5.221369037,-3.922040662,0.068936234,4.652150125,-5.082045225,-0.037024218,4.794348464,-5.373161623,1.013459067,3.521065644,-8.807663112,0.487452861,3.831035675,-0.698201996,-1.891484691,3.695553645,-8.0310748,0.699156918,4.802522534,1.368987546,-1.707294842,3.340032709,-8.026417117,-0.368238614,2.759113414,-4.305917584,-0.794458044,2.810758886,-1.523514571,-1.146795705,2.727035158,-9.56804078,0.796573848,2.931697861,-2.870848248,-0.276253949,4.500484936,2.369384012,-0.53562247,4.302452975,-7.370982316,0.356329715,5.151280551
108,MLT,-2.493515405,-0.403126762,3.271393877,-6.849940886,0.431338716,5.357116368,-6.874061869,0.870429312,3.17721442,-9.127225998,0.953913922,3.616686681,-5.511649471,0.285132767,5.912029359,-2.398099188,0.034392976,5.861769382,-8.048950763,0.696932989,5.221369037,-2.832235142,0.275634159,4.652150125,-8.562329465,0.770765703,4.794348464,-7.600380136,0.588708812,3.521065644,-4.504153167,0.351820067,3.831035675,-9.375806351,1.555490974,3.695553645,-7.026749,0.717897024,4.802522534,0.946771323,-1.003663008,3.340032709,-11.95650548,1.82552164,2.759113414,-0.873537709,-0.390673278,2.810758886,0.453578755,-0.99037489,2.727035158,-2.161662946,-0.452243329,2.931697861,-7.161034057,0.346325693,4.500484936,-7.703815603,0.558388399,4.302452975,-1.697055289,-0.008915446,5.151280551
109,MMR,-5.310155704,-0.050732124,3.271393877,-7.135300682,0.073570884,5.357116368,1.480698781,-1.977674132,3.17721442,-3.367813598,-0.461009207,3.616686681,-1.836027532,-0.5833752,5.912029359,1.121492879,-0.782893751,5.861769382,0.22753451,-0.375943397,5.221369037,-8.844513666,0.749053691,4.652150125,-6.20144548,0.113048992,4.794348464,-7.373762794,1.511656163,3.521065644,-0.644192557,-0.65725577,3.831035675,-9.127124039,0.736731507,3.695553645,-6.779478184,0.455678689,4.802522534,-4.378280736,-0.862691264,3.340032709,-4.754185655,1.031031519,2.759113414,-15.27429537,2.736874429,2.810758886,0.128274505,-0.831244881,2.727035158,-1.680306024,-0.810546484,2.931697861,-1.19170529,-0.221713909,4.500484936,-2.28829673,-0.67832645,4.302452975,-5.889465173,0.207446164,5.151280551
