"time","total_damage_share"
2150,0.026399911685929815
2151,0.02650588626287875
2152,0.026634789488709232
2153,0.026810474528710326
2154,0.027029505339959955
2155,0.027252508501577455
2156,0.02745356053817649
2157,0.027624576196844552
2158,0.0277566014156706
2159,0.02785603764688338
2160,0.02794134357426969
2161,0.02803321600884745
2162,0.028154453557486803
2163,0.028328217560088853
2164,0.028557025347531573
2165,0.0287874010078637
2166,0.028995923152653424
2167,0.029165944121395615
2168,0.029282288356956565
2169,0.0293707929547673
2170,0.02944987435512947
2171,0.029534102919839156
2172,0.029639607790757916
2173,0.029790766841381267
2174,0.0299829151515556
2175,0.03019415464719977
2176,0.03040426611874847
2177,0.0305848075128905
2178,0.030721272130750266
2179,0.030825601674780878
2180,0.030911051812798303
2181,0.030985960198692812
2182,0.031058715562917505
2183,0.031135154108450913
2184,0.031225063031690037
2185,0.03134092567223324
2186,0.031503287415143966
2187,0.03169250582433203
2188,0.031882822274233336
2189,0.03207486347656163
2190,0.03223812215024612
2191,0.032355802746841134
2192,0.03244658149151847
2193,0.032530230161767267
2194,0.03261797167503799
2195,0.03272071305345736
2196,0.03286411136939793
2197,0.0330590799085535
2198,0.03328289997682209
2199,0.033493699718048164
2200,0.033665559826894786
2201,0.03379039765720693
2202,0.03388336288744187
2203,0.033966739404911905
2204,0.03403925712081124
2205,0.034106874722353964
2206,0.03417745292691232
2207,0.03426108825543028
2208,0.03437733204056747
2209,0.0345317883556695
2210,0.03471307115715738
2211,0.03489612332217884
2212,0.035064939083399804
2213,0.035207679924325934
2214,0.03532465350402314
2215,0.035413643392694705
2216,0.03547751768643881
2217,0.035542354540399224
2218,0.03562208630287223
2219,0.03573161990521379
2220,0.03588786127814381
2221,0.036082625285236314
2222,0.03631041512573651
2223,0.0365304182274947
2224,0.03669603113453379
2225,0.03681358098214438
2226,0.036892266337694934
2227,0.03695420270897143
2228,0.03701540145716397
2229,0.03709262499865673
2230,0.03721535706764356
2231,0.03737854500824655
2232,0.037552813053656764
2233,0.03772951479070241
2234,0.037891569131871194
2235,0.0380235284589614
2236,0.03812015850701478
2237,0.038191418962915
2238,0.03825944538223969
2239,0.0383355919409818
2240,0.038436326212804024
2241,0.03858512040040074
2242,0.03878517718208718
2243,0.03899812239712375
2244,0.039191359536716264
2245,0.0393452177973288
2246,0.03945197820368984
2247,0.03953395542367766
2248,0.03960279795281263
2249,0.03966214375734034
2250,0.039721503239223965
2251,0.039787244459798865
2252,0.039873016407660715
2253,0.039995774639229875
2254,0.040160786027091944
2255,0.040341271604103834
2256,0.040517310558811914
2257,0.04068138174072222
2258,0.040814718482795165
2259,0.04091808802146857
2260,0.04099179417632592
2261,0.041043858113467446
2262,0.04110088952805957
2263,0.041175831549095765
2264,0.04128572617498594
2265,0.041448276749388224
2266,0.041652829304580814
2267,0.04188194184191618
2268,0.0420823976555752
2269,0.04222309304234673
2270,0.04231605852078057
2271,0.0423759968612385
2272,0.042420035359774906
2273,0.04246641946088648
2274,0.04254488465467088
2275,0.042671941740195944
2276,0.04283708804477249
2277,0.04300705114893211
2278,0.04316015676476914
2279,0.04328709558311372
2280,0.04337370529925888
2281,0.04343046787679139
2282,0.0434825436503955
2283,0.04354056210780333
2284,0.0436201351230786
2285,0.04374802681863609
2286,0.04393178114304974
2287,0.04413922692826766
2288,0.044333851624227094
2289,0.0444723209014124
2290,0.044562310330346966
2291,0.044629288289523956
2292,0.044671172571909
2293,0.04470353874569655
2294,0.04475157847844535
2295,0.044848005616826
2296,0.04499844970870659
2297,0.04519004710826957
2298,0.045389102285601335
2299,0.04554819321180392
2300,0.045656363845696595
