File description: Atmospheric CO2 concentrations (ppm) from SSP scenarios.,,,,,
"Source: Downloaded from https://greenhousegases.science.unimelb.edu.au/#!/ghg?mode=downloads on August 24, 2021.",,,,,
,,,,,
Model,IMAGE,IMAGE,MESSAGE-GLOBIOM,AIM,REMIND-MAGPIE
Year,SSP1-19,SSP1-26,SSP2-45,SSP3-70,SSP5-85
2030,434.3239767,439.5639645,444.1429582,451.1639493,451.5149482
2031,435.3939781,441.7809652,447.2319581,455.1359487,455.7789468
2032,436.3369795,443.928966,450.3329579,459.165948,460.1639453
2033,437.1789809,445.9899667,453.4349577,463.2419474,464.6819438
2034,437.9169822,447.9689675,456.5409576,467.3649468,469.3309423
2035,438.5529836,449.8659683,459.6519574,471.5389462,474.1119408
2036,439.083985,451.6849691,462.7699573,475.7649456,479.0249393
2037,439.5129863,453.4259699,465.8969571,480.044945,484.0719378
2038,439.8369877,455.0919707,469.032957,484.3799444,489.2519363
2039,440.0589891,456.6839714,472.1789568,488.7719437,494.5669349
2040,440.1789903,458.2009722,475.3359567,493.2209431,500.0189333
2041,440.1969911,459.646973,478.5039566,497.7309426,505.6079317
2042,440.1389917,461.0189737,481.6739565,502.2919422,511.3419301
2043,440.0269923,462.3149744,484.8379564,506.9009417,517.2279285
2044,439.859993,463.5359752,487.9959563,511.5569412,523.2669269
2045,439.6349936,464.6829759,491.1499562,516.2639407,529.4599253
2046,439.3519943,465.7549766,494.2999561,521.0209403,535.8089237
2047,439.0109949,466.7529774,497.4469561,525.8299398,542.313922
2048,438.6109955,467.6779781,500.591956,530.6919393,548.9769204
2049,438.1509962,468.5299788,503.7339559,535.6089388,555.7999188
2050,437.6319968,469.3099796,506.8749558,540.5809384,562.7839172
2051,437.0539971,470.0189802,510.0139559,545.609938,569.9299153
2052,436.4459974,470.6629809,513.136956,550.6909376,577.2579133
2053,435.8359977,471.2499816,516.2299562,555.8219373,584.7839114
2054,435.219998,471.7789823,519.2919563,561.0039369,592.5069094
2055,434.5969983,472.2509829,522.3259564,566.2389366,600.4289075
2056,433.9639986,472.6649836,525.3319565,571.5259362,608.5499055
2057,433.3209989,473.0219843,528.3099567,576.8679359,616.8699036
2058,432.6649992,473.321985,531.2609568,582.2659355,625.3909017
2059,431.9969995,473.5639856,534.1859569,587.7189352,634.1138997
